observation_id,artifact_id,artifact_format,artifact_version_or_snapshot,source_hash,render_locator_page_slide_sheet_view,render_hash,review_timestamp,reviewer_or_validator,content_parity_pass,visual_release_eligible,typographic_hierarchy,whitespace_grid,figure_quality,table_readability,colour_discipline,diagram_consistency,branding_restraint,captions_citations,metadata_versioning,export_print_fidelity,information_density,executive_legibility
X03-LKT-NC,QPS_W59_P03_LKT_NONCOMPLIANCE_HUMAN_REVIEW__HOME,XLSX,snapshot_sha256,a1ca616f1f982d0bd53c4da2d3153211e729da42eff412225e70812508d17ca3,sheet=HOME,cabeae990f673bfaa89064f3356fc6142ca683ebdc2be931bda74cea99c7212c,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,6,7,3,7,8,5,8,6,9,6,6,7
N100-091,QPS_COST_Master_SSOT_v2_2_DMAIC_PCA,XLSX,v2.2,bb808575bf7fd6ff8306ba56138eb17daac6de78407ee2cfd254c792ff6f96ce,sheet=00_COST_MASTER,922393965f3f516883006d13f3cfd5f82e3dcb59f2d00d4c27c883907eb5a41e,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,7,7,3,8,8,5,8,6,9,7,6,7
N100-092,QPS_Cost_Estimate_MASTER_v2_CANONICAL,XLSX,v2,42f8520650a1104f5f74ccd521558763f0bd7002da016f86f4303f27bd63581f,sheet=V2_Definition_of_Done,7c5eb2d92dd81b1e23c6e6152e91a9050e4f2716a91e4aa4bea964b3ef3a4ae2,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,7,8,2,8,6,4,7,5,8,6,5,6
N100-095,QPS_NEGOTIATION_RFI_W12,XLSX,snapshot_sha256,90df6778b88d8b5804882031a97c66f7c47991198db7b5b8b6058972532373b4,sheet=NEGOTIATION_RFI,22f76d3bc293044fd8b91e31bf4b361cb9e9e26527a67862b0b8c7b97c34a2ae,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,5,5,1,5,6,3,6,4,7,5,3,4
N100-096,QPS_PROJECT_SSOT_rev1_8,XLSX,snapshot_sha256,d1b55f516eff2e0cd653da41fbed8307e888c27e40f4ce2b4ca4b4e6d36566dd,sheet=START_HERE,cca21125e9079c316aa359010e08ef12a9721d88fb97722266278398cdc79ff3,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,7,7,4,8,8,5,8,6,9,7,7,8
N100-097,QPS_REVIEW_RTM_ACTION_PACK_v2_COST_PROMINENT,XLSX,v2,a7b8d987b2209a20e2e3dda1a049ffa851547969bbef761dfdbb6ed1516b0062,sheet=00_COST_MASTER_GATE,6ea330ed35e63dc763a26c8a00a5973c74143caed4e822f9ea404e47563c33ff,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,7,7,3,8,8,5,8,6,9,7,7,7
N100-098,QPS_UTILITIES_COST_REVIEW_v2_SEND,XLSX,v2,508142c0ce1d7886dd2a2212d5c36455b2c427e637e8a6274ef5eb9f05e95a15,sheet=NAV_FIRST,3e1f3dd26be6d3f0eed5eec0fc7ccb4e04ef557f14f6459b14e2e7cbe41c3e2b,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,7,7,3,8,8,5,8,6,9,7,7,7
N100-099,QPS_WCS_QRB_Project_SSOT_rev1_7,XLSX,snapshot_sha256,bab0cb71d853c9eb1694797f9f4e28f3113a286c2bf67cd0fece5a9aa0cb318a,sheet=README,b66dbc336f48ccb47f8dfc9eff19a5217e11f7e41b9ac900246a5d864b7e6d5f,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,6,8,2,6,7,4,7,5,8,6,5,6
N100-100,QPS_engineering_coverage_navigation,XLSX,snapshot_sha256,b3bcad93099bcc3dbb76c1edbe8fcafaa32d0271cda4c272c9b8287ebd695029,sheet=NAV,993a56ab2491d8e14f253f2e109f68949a0ab5ae5cbc21779e25d7a80fcdabc2,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,6,6,3,7,7,4,7,5,8,6,5,6
N100-093,QPS_ALAT_KNOWLEDGE_TRANSFER_SSOT_v1.0,XLSX,v1.0,ccb815031d4ddeb2206b6eacc19a502b7952548a8b882103474b3ede9af98211,sheet=00_READ_ME,5e7f4280f2bdfd9167b12da602ebaa745eb3fd29e85bfee2114c0c5f0eb32dae,2026-09-13T01:03:00+00:00,GPT-5.6-Sol_visual_census_review,True,True,7,8,2,7,8,4,8,6,9,7,6,7
N100-094,QPS_ALAT_NEG_RFI_CLARIFICATION_MASTER_W59_1,XLSX,W59.1,8a8019b08bcd51201c361d0cd1539df4993d6ddc886951da6a18e298785bc870,sheet=README,b624b79003e7fe65253a5da14c743c95dbb5bf6329d919c7993a29683b6f8bae,2026-09-13T01:03:00+00:00,GPT-5.6-Sol_visual_census_review,True,True,7,8,2,6,7,4,8,5,8,6,5,7
