observation_id,artifact_id,artifact_format,source_hash,render_hash,family_key,typographic_hierarchy,whitespace_grid,figure_quality,table_readability,colour_discipline,diagram_consistency,branding_restraint,captions_citations,metadata_versioning,export_print_fidelity,information_density,executive_legibility
W173-N200-PDF-PEND-03,C1393-TN-011 (2) PreStudy Final Report + appendices,PDF,3aba7bb46f8bedb1342ed2fb9965802c37ff2c693f793ccb0ab7acf204700ac0,b8c986ec4dbacbd809f5a4231014653cb6d81b0c46fdacc02b24597b1a095c80,c1393_tn_011_prestudy_final_report_appendices,8,9,4,8,8,4,9,7,9,10,7,8
W173-N200-PDF-PEND-06,ISO_and_EIGA_stds_for_cryogenic_vessels_and_accessories,PDF,643f10f258018ca87bc33b7c8ec7db085a461060b2535ff479746e329410184a,e57dccacf5f96e3e8cbff82363cb3ffc29df4eabbccbcd8d2eaf7f17f7ad2757,iso_eiga_stds_cryogenic_vessels_accessories,9,8,9,4,9,7,9,7,8,9,6,9
W173-N200-PDF-PEND-07,NFS_offer,PDF,f5f1a4b0f0f531587ec17cd01df29b558efd76f4d29aecf8d0cf0edc8155867a,a47d1b5f1368090feab789ad5ca051c473631deec192fa66d2ed072e5dec1966,nfs_offer,6,7,4,6,6,4,8,5,7,8,7,5
W173-N200-PDF-PEND-08,QPLANT Buildings,PDF,1f75454994397028dc01b6deba3900dbb1172eebbe2c6bfbed33532efebbd0f1,1e2d49e52eb09887352b9dc953f7de4c1e20013d452d3ac487f33840f060ed55,qplant_buildings,8,9,9,3,9,6,9,6,8,10,5,9
W173-N200-PDF-PEND-09,QPS_AGENDA_CONSOLIDATED_AGENDA_v6,PDF,3a1617dddf164ff732e438099254318e190c45fe84306419b3c9eff190807e70,cc67f78c0b2f6346a282587df1bbea21e2534a98312da426a7aa1c3b0229b60c,qps_agenda_consolidated_agenda,8,9,3,9,6,3,8,6,9,10,8,8
W173-N200-PDF-PEND-10,QPS_AGENDA_FULL_COMMENT_RESOLUTION_contract_mirror_v5_block_ssot,PDF,0f01f17bae8fac81759bf5b9e4c9f967b0eeb6df71fc0d3d2e9b25b045c74b04,be21b41851c41153b43df66123a2ad994be700dc13f2a387f72972cd60f2fb3b,qps_agenda_full_comment_resolution_contract_mirror_block_ssot,8,9,4,5,8,3,9,7,9,10,7,8
W173-N200-PDF-PEND-11,QPS_AGENDA_NEXT_WAVE_STATUS_HUB_v7,PDF,9465fabd6e21a9c42b5cea64daa12107c4f836094823191796bb08767120d032,72f3a4e9ed3f06ebc68ca02e7e6592e3d8f10fa9ada664127800c250027dc45f,qps_agenda_next_wave_status_hub,8,8,3,9,7,4,8,7,9,9,8,8
W173-N200-PDF-PEND-12,QPS_Contract_mirror_DOCX(3),PDF,34654694099e74419c4d95c0e7bfa12aa2f698244ad6037cad8fb606fa36595d,edf3db448794aabc2eea1be8661d039bdca986d0272487c76e68c31607040461,qps_contract_mirror_docx,8,9,4,4,8,4,9,7,9,10,6,8
W173-N200-PDF-PEND-13,QPS_Cost_Estimate_Paper_v1,PDF,19917e651d0a9d999aebcd15555dc060a9ea1a821612a4b4b43ea38e76edc674,c17d42ca12e50a11a4317766c4433f654b1bc6f2aedaeca2cd0927d8ceac37bc,qps_cost_estimate_paper,8,8,4,9,5,4,7,8,9,10,9,7
W173-N200-PDF-PEND-14,QPS_COST_Master_Demo_v2_3,PDF,7983a291294f1164b1e55da64ae2afa5a4c5b10ddbe32c4fd9a28effbaf83498,a16f32040efb6fb6d8e46821f823289df5bfd904b005deae7ee71948b5aa046d,qps_cost_master_demo,9,9,4,4,9,4,9,6,9,9,5,9
W173-N200-PDF-PEND-15,QPS_COST_Master_Narrative_v2_2,PDF,e5e5ed8cd22b111bbb8c9062a85e55dd03da9f8591f4c09dc52a1b3617674e4f,72852c455cb75723c6bdeb70acf4e22975f29bfd2a3421f598e50b2cbdd6df28,qps_cost_master_narrative,9,8,9,8,9,8,9,7,9,9,9,9
W173-N200-PDF-PEND-16,QPS_COST_Master_Technical_Narrative_rev2,PDF,ae39b025db0471424327438c4044395b4deccb573c649a4654bd12c284e51cae,efa684277a676a3e4e4d62310df3c088f36d09c27ca324d27cc774052e1a92a4,qps_cost_master_technical_narrative,9,9,4,4,9,4,9,6,9,9,5,9
W173-N200-PDF-PEND-17,QPS_LKT_COST_CAPEX_RFI_AGENDA_COMPACT_2UP_W21_3,PDF,1e1c77d3f634c6255b983eafada932859cb28498027eb01e0996d99ba11318a1,d616152bf46b2edc7dc5e9074f6a21bb6b6d92de68799ee171f1aec5e3cfbcad,qps_lkt_cost_capex_rfi_agenda_compact_2up_w21_3,7,7,4,9,8,4,8,6,8,8,8,7
W173-N200-PDF-PEND-18,QPS_LKT_COST_CAPEX_RFI_AGENDA_RENDITION_D,PDF,f4dd48dd0ebcd953079cae92cc1d1fac17423faeddd414b730953bb85c800ebf,2afb4cc2b6a0ad8f113adab8b25cd58d6e17b3f508a57663cfa4d066923c91f7,qps_lkt_cost_capex_rfi_agenda_rendition_d,8,9,3,9,8,4,8,7,9,9,8,8
W173-N200-PDF-PEND-19,QPS_LKT_NEGO_OFFER_CANONICAL_W19,PDF,f3266d281cf09092ed5986ef47ca617f768ba424670298b2c230988b2367d801,71fbc34555ea3dbd08d277be8723052733cfc443b6e44fd4e1691d31ac5834c7,qps_lkt_nego_offer_canonical_w19,9,9,3,3,9,3,9,6,9,10,6,9
W173-N200-PDF-PEND-20,QPS_MTBF_WCS_ALIGNED_REVIEWGBO_FULL_v5,PDF,5c0931e70e0ea58e48376f59470571837f471197605b86d7ffe56f2ced716b81,9e89e40cd864d79a249975ddb098c61f75a1f6caf4edde21f0d09948291249ac,qps_mtbf_wcs_aligned_reviewgbo_full,9,9,8,3,9,7,9,6,9,10,5,9
W173-N200-PDF-PEND-21,QPS_MTBF_WCS_DMAIC_FULL_v6,PDF,fe54d0a5bc362444905b2be4a7da6340356548440b647b582d55bdc672b6b578,751f64ca3ce824d297691a750b5b1e8a837dbc3f566e2a3a13bc97b23a39cc94,qps_mtbf_wcs_dmaic_full,9,9,8,3,9,7,9,6,9,10,5,9
