observation_id,artifact_id,artifact_format,artifact_version_or_snapshot,source_hash,source_locator_page_slide_sheet_view,source_asset_locator,render_locator_page_slide_sheet_view,render_hash,review_timestamp,reviewer_or_validator,content_parity_pass,visual_release_eligible,typographic_hierarchy,whitespace_grid,figure_quality,table_readability,colour_discipline,diagram_consistency,branding_restraint,captions_citations,metadata_versioning,export_print_fidelity,information_density,executive_legibility
T03-ALAT-NC,QPS_W59_P01_ALAT_NONCOMPLIANCE_MANAGEMENT,PPTX,snapshot_sha256,c8f6a470d10fdb66f5202a6f4f67cdfc292c9c535ed2cf630f7fb445904a2298,,,slide=1,89a690d852b894b05d37ef4f10e1154f88783f8e7671e0955c5ff25d8817ec95,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,9,8,8,7,9,8,9,7,9,9,8,9
T03-LKT-NC,QPS_W59_P03_LKT_NONCOMPLIANCE_MANAGEMENT,PPTX,snapshot_sha256,0a5dbc5d8b480264251cca547c09b47b1ea03c9279975a8eff45278494f8ac39,,,slide=1,ad59f664fc9a6823c5b8ca9acd37b0f05032fcd4377d2789c27db7c4fa40ff92,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,9,9,6,7,9,6,9,6,9,9,9,9
T03-P2J,W52_P2J_QPLANT_Mass_Energy_COST_Master_Deck,PPTX,snapshot_sha256,c05b3e9dc344ee3b97f3a1a378801dcdcda20fdc58bbda0f032072adaaed4060,,,slide=1,ab174a94b96f73835a5f5ba5f032a96ba6ef1552694d2c170bc7635a9e6fddc0,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,9,9,6,7,8,6,8,6,9,9,9,9
T04-LKT-W19,QPS_LKT_NEGO_OFFER_CANONICAL_W19,PPTX,snapshot_sha256,74743ea3d3c815d8e58dc0a8c6b3e105fb9adcd1161a81ed2dc9636db6e361b7,,,slide=1,acb8e320142a85abf8a0bee852b0a2a56691b1a41a15f5b6f95146eed8eb0106,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,9,9,4,5,8,5,9,7,9,9,9,9
T04-LKT-RFI,QPS_LKT_NEGO_RFI_COMPLIANCE_SSOT_v1.4_management,PPTX,v1.4,c0eb9fa74cfbd359957664816cf550cbd41f31ac7e704cbe607f0b8b90d8c385,,,slide=1,fe73716858a7824f5faf44791e6368c4643427841e087c6ae5104a64fc6a29d4,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,8,7,7,7,9,7,8,7,9,9,7,9
PPT-REP-01,QPS_COST_Master_Demo_v2_3,PPTX,v2.3-demo,013c313d43dc9180a04667259fb7916288928d49fb311ad83376d76ea53678f0,chatgpt-library://file_0000000043848211a93a08e30e2c27d9#slide=1,chatgpt-library://file_0000000043848211a93a08e30e2c27d9#sha256=013c313d43dc9180a04667259fb7916288928d49fb311ad83376d76ea53678f0,chatgpt-library://file_00000000fd6481f49d1cfc49a3edf9a1#slide=1,6731a2c02279e2d15a43ea243e68691dc3c7281eec4a7bf8dff07c27f43ebae0,2026-09-13T01:22:00+00:00,GPT-5.6-Sol_visual_census_review,True,True,9,9,2,3,8,3,8,6,9,9,7,9
T04-GH-RT,QPS_SESSION_CLOSURE_GITHUB_ROUNDTRIP_20260904,PPTX,snapshot_sha256,c3defa9dbb02ad7c5436897fc342ad32991314195fc53fb3e9a3b90240a1c12e,,,slide=1,da4866700856b5156043a301cab011dcf60615ccaf3baeaf2cc5e11c6c83fb06,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,9,9,6,7,8,6,8,7,9,9,9,9
T04-W41-BIN,QPS_W41_SESSION_CLOSURE_MAIN_BINARIES_v1.1,PPTX,v1.1,7129e0c544c9080a3b127c4bec38a273b11036bca1322193208e603c31c6b695,,,slide=1,91d4b5048f52b18318ef950d386ea196976ab9d0238d0d2a5adf42c4c90506a4,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,9,9,6,5,8,6,9,7,9,9,9,10
T04-W41-RT,QPS_W41_SESSION_CLOSURE_ROUNDTRIP,PPTX,snapshot_sha256,0c9c19e8b1416dfba0a6eb72182fe45385d3cb29c4712f4d0e3b3cd268b13cf1,,,slide=1,3cdfea4ad9c2beffbbfe39045affb04efbc8228b4ba71650e9e20a508fdff301,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,9,9,6,7,8,6,8,7,9,9,9,9
T04-COVER,QPS_engineering_coverage_review_deck,PPTX,snapshot_sha256,423ab032b243d52fa1d448102dfee41de20b8a3f30d00a2adf761740ce677e5b,,,slide=1,66457ac9ab8df200605a9fd626923f87219e648bb0c50ee12d45e90bd77a896b,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,9,9,6,6,9,6,9,7,9,9,9,9
N100-071,DOW_KEB_execution_architecture_SSOT,PPTX,snapshot_sha256,ab4815067f04901bb52f969dfacf237144675dde33f5680379a35ac2996763fc,,,slide=1,e36d49618989f2717b28621752a3b0eaa34c71430de47a6857f31e0ec5638060,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,9,9,9,6,9,10,8,6,8,9,8,9
N100-072,DOW_KEB_execution_architecture_Wave01_v0.2,PPTX,v0.2,5a2a42cd14028b03543c0091503f79adb4d077b88b823b6d1d1b9a76ecee50fd,,,slide=1,9be43646486b74ff386c5314bc41d592bf7ea1022f2d5f7b055f2dd01b78eae0,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,9,8,9,6,9,9,8,6,8,9,8,9
N100-073,QPS_DMAIC_NEGO_ROLLUP_W07_v0.1,PPTX,v0.1,0323d8b907d45c96f272b48e0c6c53657ea254643169af28d1338f21be6409c0,,,slide=1,7e72a0dca26c10b302872e97b2eefec4e9a6ceacac8b8c2a5920da2a662f3d2e,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,9,9,7,8,8,7,8,7,9,9,8,9
N100-074,QPS_LKT_NEGO_RFI_COMPLIANCE_SSOT_v1.0_management,PPTX,v1.0,c702a7168247f449802566fe2456ebc068a972079a279dba65156832b33f033d,,,slide=1,836e79246dab8afb9241d51ef79c13682e462b48ad71d816d898095d7fb878a4,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,9,8,7,8,9,7,9,7,9,9,8,9
N100-075,QPS_LKT_NEGO_RFI_COMPLIANCE_SSOT_v1.1_management,PPTX,v1.1,477015effa67db174d295df85607001243a6fe3d1ca99b0905e810b7c04cff94,,,slide=1,2ca4efa581db7f371664934f17f757e50473205cf62eaaef89775177d1664140,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,9,9,7,8,9,7,9,7,9,9,8,9
N100-076,QPS_LKT_NEGO_RFI_COMPLIANCE_SSOT_v1.2_management,PPTX,v1.2,01b22cf920f1e87e2291d22e476ae0c0da0fc9b6ef1a24c6af2fc7b657002b0c,,,slide=1,55421134e322ea07e3d4558e742d15c44d4154d55f0f4581f1dd34ea51bb2b26,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,9,9,8,8,9,8,9,7,9,9,8,9
N100-077,QPS_LKT_OFFER_COMPLIANCE_REVIEW_W18,PPTX,snapshot_sha256,7a51edea8090409a9255ba2dc75c57c424376288b153c529916580013da97cd7,,,slide=1,ab1c1ac435c9e77f3132810222c069457022944b49dc407328b1ba80476d7dd5,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,9,9,7,7,9,7,9,7,9,9,8,9
N100-078,QPS_LKT_SESSION_CLOSE_W42_management(2),PPTX,snapshot_sha256,78df935da4131b8b42c606912bf3a836bf0a6b17908c69054307cbc8a0f46d4a,,,slide=1,3475ecaf2afbad04d1d75228f402dfcb23dd0db19a2c2816872ae946233ac41c,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,9,9,5,8,8,6,9,7,9,9,8,9
N100-079,QPS_WCS_QRB_Energy_rev1_7,PPTX,snapshot_sha256,8f09e0aa30510227cf86b584d3036f658faeb0e65c29b0f329a8b04a5970f5e0,,,slide=1,7fb52c45e662cd255662f9449128a3b014ae9aa02bf08d7218c883d19159f188,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,9,9,7,7,8,7,8,6,8,9,8,9
N100-080,Safety_OFFER_PPT,PPTX,snapshot_sha256,8fd7d560e2725e7236b5e6633626e7c0f864808942ce2757306870254e249bc9,,,slide=1,57202c20030d697dcf80c885e305f9f311cabb332bbcf45f0fb3bbfa9ae589b4,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,7,9,2,3,5,2,6,4,5,8,3,5
