observation_id,artifact_id,artifact_format,artifact_version_or_snapshot,source_hash,source_locator_page_slide_sheet_view,source_asset_locator,render_locator_page_slide_sheet_view,render_hash,review_timestamp,reviewer_or_validator,content_parity_pass,visual_release_eligible,typographic_hierarchy,whitespace_grid,figure_quality,table_readability,colour_discipline,diagram_consistency,branding_restraint,captions_citations,metadata_versioning,export_print_fidelity,information_density,executive_legibility
P03-HIVE-HI,GLOBAL_HIVE_HIGH_LEVEL_v1.0_page1,PDF,v1.0,520575d70a6d5bf949b12f87b14b9c1f74a07622dd04521465fbedb02f155c29,,,page=1,1f59b33686cd7a7025a0f1997ca9b29adcaf99a93e01b146bbeaa6bd6078063e,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,8,9,9,6,8,9,8,7,9,9,8,9
P03-ADR,QPS_ADR_REGISTER_v0.3_OUTWARD_REVIEW_W36_page1,PDF,v0.3,aaa7ec4b08d126f2cc4e616c9fd6b0367745f9d9ae282d2d0cfbdaccc38261db,,,page=1,a91708fad3e1fa73803f903612b28c793af344c0e1373b90508b0662a499a0e7,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,8,8,5,9,8,6,8,7,9,9,7,8
P03-ALAT-AGENDA,QPS_Agenda_ALAT_v3_TRIAGE_CURRENT_2026-09-09_page1,PDF,v3,70bc9aae76a71f4da52154e5132f4f17c4979fc88ccf8fefa7ca8f63733787d5,,,page=1,744b2e39a5bae65136a458c685b2f30c8799b3c29793a14bf8edd31dfe8f3535,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,9,9,4,6,8,5,10,8,9,10,6,8
P03-LKT-AGENDA,QPS_LKT_MEETING_AGENDA_2026-09-10_page1,PDF,2026-09-10,ff694985350d8faab67ec755737ec95b4ce8b9bbbb3ddddca563412a1553fe42,,,page=1,46735c1a857a3163a6ad37d1856ad8c2cbe59c7708bf93e09c55cb5bc51523bc,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,8,9,5,9,8,6,8,7,9,9,8,9
PDF-REP-02,QPS_LKT_Negotiation_Communication,PDF,snapshot_sha256,58f8bd36024308af556a90c8b1bcc9dcb415eff0c395018fc1c200fc2497b6c3,chatgpt-library://file_000000006e9081f49eccfd0afd53ab85#page=1,chatgpt-library://file_000000006e9081f49eccfd0afd53ab85#sha256=58f8bd36024308af556a90c8b1bcc9dcb415eff0c395018fc1c200fc2497b6c3,chatgpt-library://file_0000000089408246ab0968cc7ac2467a#page=1,3edb79eeb879924d260af7ce2a9b493b04dfcd57ba0cbd9d6068af153476da27,2026-09-13T01:18:00+00:00,GPT-5.6-Sol_visual_census_review,True,True,8,9,2,7,7,3,8,6,8,9,8,8
P04-POISSON,QPLANT_Reliability_Poisson_Clock_Integration_v1_page1,PDF,v1,e31ec0643b6f698e2376c76d3a5204849cc9619efb5fcf7f7a1e6a30449b2c7c,,,page=1,07a363bb99311d35e41599cb056e8491ff105a53d2e96c5103ec1f8343b0c3e0,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,9,9,9,7,9,9,8,9,9,9,8,9
P04-LKT-LETTER,QPS_Agenda_LKT_page1,PDF,snapshot_sha256,a27d2e5717e19b80c49e1d481ef7e4269b27031d1ef5e15b854f3a9b7aa913de,,,page=1,cc822220a8a7216af2ba57c616bf3cce9ad9a6422860d330fa1cb3203e1ff366,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,9,9,3,5,8,4,10,8,9,10,5,7
PDF-REP-03,QPS_LKT_Review_Executive_Communication,PDF,snapshot_sha256,f72f382c1704e614ffed3dedeb4870e24ff487c15c8d34c429328bc58f7d44fc,chatgpt-library://file_00000000e1f8820a826e3002fa7a5bc1#page=1,chatgpt-library://file_00000000e1f8820a826e3002fa7a5bc1#sha256=f72f382c1704e614ffed3dedeb4870e24ff487c15c8d34c429328bc58f7d44fc,chatgpt-library://file_0000000055288210b69efe872f91e693#page=1,ea23561d4e16f1d957ff9fcd03f43778cbf33e2cbf97e06fefcce407a4c3b688,2026-09-13T01:18:00+00:00,GPT-5.6-Sol_visual_census_review,True,True,8,9,2,8,8,3,8,6,8,9,8,9
P04-OCD,QPS_OCD_v0.8_OUTWARD_REVIEW_W36_page1,PDF,v0.8,11bc531d76fbc79ba3631e46bf0aaca09abeaa1c163998280795bbe06d42f037,,,page=1,89377febd441749a8a9ce3d3db019ae7d438778e62e49443b57cfe394f1c9d1b,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,8,8,4,8,7,5,8,7,9,9,6,7
PDF-REP-04,QPS_Recursive_Compliance_Review_Rule,PDF,snapshot_sha256,6e1f893e83b79acd34c06fe910be03e78f3fe325e7bf47e818f27ba14237e80d,chatgpt-library://file_00000000d70482468e0206dd261d728f#page=1,chatgpt-library://file_00000000d70482468e0206dd261d728f#sha256=6e1f893e83b79acd34c06fe910be03e78f3fe325e7bf47e818f27ba14237e80d,chatgpt-library://file_00000000d1ac81f4a4bd397f473e819e#page=1,058e499cab5736ac49ddfb6da29f7fc0ff38b3c1cf8a677f9268386d90f3517e,2026-09-13T01:18:00+00:00,GPT-5.6-Sol_visual_census_review,True,True,8,9,2,9,8,4,8,7,8,9,8,9
PDF-REP-06,QPS_LKT_CANONICAL_REVIEW_PACK_W19,PDF,W19,46b12165255b81ae03774c1e00db566b92cd09f4467a40fa3f6b7595b728ba58,chatgpt-library://file_0000000075f88246b9247c304d21a9c7#page=1,chatgpt-library://file_0000000075f88246b9247c304d21a9c7#sha256=46b12165255b81ae03774c1e00db566b92cd09f4467a40fa3f6b7595b728ba58,chatgpt-library://file_000000005d7482108bc98894cd5adf66#page=1,2077385f9fc05fb62fee3924cbd5ba16d31819c1bc8d244035dfb3d6f31897e1,2026-09-13T01:22:00+00:00,GPT-5.6-Sol_visual_census_review,True,True,9,10,2,3,9,2,9,6,8,10,5,9
N100-082,QPS_ADR_REGISTER_v0.1,PDF,v0.1,ed48f9853b294b89f2e0e3966c454d1729e0a173320954c097381ca77189e979,,,page=1,19f42f22afd6502d30757536bfed1085149d3f3e5166993631ea208b2117944a,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,8,9,3,6,7,4,8,7,9,9,5,7
N100-083,QPS_Agenda_ALAT_v2_SOURCE_CHECKED_2026-09-08,PDF,v2,7430090db50965382c9e176f1a7a2723835ea677ae3f6e486bc41fa0ca09946f,,,page=1,072842c118188a41bb1dbce2671be2d5d8539d88631e006064e1b6a405792053,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,9,9,2,5,8,3,10,8,9,10,4,7
N100-084,QPS_Agenda_LKT_DOC_LKT_QA_REPAIRED,PDF,snapshot_sha256,a436893c9eb91adf3b30c653f4bc29301e4fc27f0883288f81ba300d97a17165,,,page=1,a8f6c8f6faddf1602e41a0e492ca7e6bcd039083ea08fecdc4be7c424f15d55c,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,9,9,2,5,8,3,10,8,9,10,4,7
PDF-REP-05,QPS_W153_COST_MODEL_RATIONALE_AND_FLOW_v0.1,PDF,v0.1,0f1b0286aca56b22bd962cd568c13d9676707716007c317b1ed96bf00f72e899,chatgpt-library://file_00000000c1d8820abf084a190b749762#page=1,chatgpt-library://file_00000000c1d8820abf084a190b749762#sha256=0f1b0286aca56b22bd962cd568c13d9676707716007c317b1ed96bf00f72e899,chatgpt-library://file_0000000088e4820aa4b9f1dac501b49f#page=1,a8825ab65161ae6ebf9203e56593b4604013b4035015e78993f3d7b95ab8ce07,2026-09-13T01:18:00+00:00,GPT-5.6-Sol_visual_census_review,True,True,8,8,2,6,5,3,7,8,9,9,8,8
N100-086,QPS_OCD_v0.1,PDF,v0.1,ceee3b3ef9974e8dd6ddf013d366bda9dff22529c6367cb6fbb4240fd1f06490,,,page=1,b73c032042d95b1a976063a29c00f5feaa0b0cd762f1e13c91ba684b13b6fd6c,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,8,9,3,6,7,4,8,7,9,9,5,7
PDF-REP-07,QPS_DOV_ARTIFACT_QA_RENDER_GALLERY_v9_contact_sheet,PDF,v9,bccd1e083edd2ef3544e8e1925e67d2affcf2e04e5c020bd8792df9278762c22,chatgpt-library://file_00000000d25481f982bfe91969a7be35#page=1,chatgpt-library://file_00000000d25481f982bfe91969a7be35#sha256=bccd1e083edd2ef3544e8e1925e67d2affcf2e04e5c020bd8792df9278762c22,chatgpt-library://file_0000000082008210aa7b61596ee013e9#page=1,aab86c5f360c7e6652f1562752cc72c322a1b1fbdc490043c27ab0ef0f5eaca7,2026-09-13T01:22:00+00:00,GPT-5.6-Sol_visual_census_review,True,True,7,7,8,7,6,5,7,8,9,8,7,7
PDF-REP-08,QPS_W25_PROGRESS_DOV_REVIEW_v0.1,PDF,v0.1,c456ceaa986ef715f2b2bef82fb9ef6ecdf9bfa7dd61b91eddf8c0f38368caa5,chatgpt-library://file_00000000b11081f4b9e5752307b7c361#page=1,chatgpt-library://file_00000000b11081f4b9e5752307b7c361#sha256=c456ceaa986ef715f2b2bef82fb9ef6ecdf9bfa7dd61b91eddf8c0f38368caa5,chatgpt-library://file_00000000b6748243950542496f14e0a1#page=1,633aafba2d88153c6bbf0cd5b085e76854d27a42c8dcf0511f801dac3f66077a,2026-09-13T01:22:00+00:00,GPT-5.6-Sol_visual_census_review,True,True,9,9,6,7,9,6,9,7,9,9,8,10
N100-089,QPS_W54_engineering_closure_diagnostic,PDF,snapshot_sha256,3d514e8053189d5288b95b6cb17ffb582b22e72d337a91555c7a03f227618cc0,,,page=1,0b610565520e4741a5c0502ac187bd629eb1796fa259754dec41f6288cb4d1b4,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,7,8,3,8,7,4,7,6,8,8,6,7
N100-090,W52_P2J_QPLANT_Mass_Energy_COST_Master_Report,PDF,snapshot_sha256,a54661b82a525266e5fa76f3b928d9d857e752f6a0c3e57131bfc2a2446474c0,,,page=1,cf316c13117e43e53f3cf85581e59bd42d93214881a3897815574bd6e6b888e3,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,7,7,4,8,7,5,7,6,8,8,6,7
