observation_id,artifact_id,artifact_format,artifact_version_or_snapshot,source_hash,render_locator_page_slide_sheet_view,render_hash,review_timestamp,reviewer_or_validator,content_parity_pass,visual_release_eligible,typographic_hierarchy,whitespace_grid,figure_quality,table_readability,colour_discipline,diagram_consistency,branding_restraint,captions_citations,metadata_versioning,export_print_fidelity,information_density,executive_legibility
N100-061,GLOBAL_HIVE_SUPER_PIPELINE_v1.2,HTML,v1.2,788ff421a775df0578c4c318c7b6dbcb3eebe720530f06ce0504638646f17d0b,view=primary_static_view,9e4851f93ed56d05b60347f0e5198fac38590432f6509ff2357e63a4346caf35,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,7,8,2,5,7,3,7,5,8,7,6,7
N100-062,QPS_OFFER_RTM_EVAL_TRIAGE_SSOT_2026-09-08,HTML,2026-09-08,3943339336462a16793f8ad78a90b0120a391888970b4bd72d170a2327812763,view=primary_static_view,3b41f1e8ad42788a6556c5c3336fda3aabeaef94bc43e398b928fdbbe75610ae,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,8,8,5,8,8,5,8,6,8,8,8,8
N100-063,QPS_W59_P03_LKT_NONCOMPLIANCE_DASHBOARD,HTML,snapshot_sha256,cb84b8704282ef7243ea0de258b728d8f0a76becc650dcc9b1d98b3a0e25a947,view=primary_static_view,e54341a53c65e77c37b30657af17a48cab76aa2bf498638bb87ac7ff9914aab7,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,8,8,5,8,8,5,8,6,8,8,7,8
N100-064,dashboard,HTML,snapshot_sha256,4a312aa2c422f0e74aee12e275fbb1008d57fd8a157478e815a1d662e0f450b4,view=primary_static_view,cf4b1d8bd26fe3f419e9c1338129af8f5d48c0c15b24ede399af69cd26e3915f,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,8,7,8,6,8,7,7,6,7,7,8,7
N100-065,measured_repo_pca_dashboard,HTML,snapshot_sha256,fac80fa7ae07ffb7ea0276995bfa09b75745f4a77f09b05b457775083594fa81,view=primary_static_view,2b37fa39f0a9956ab54a8a7a0667d3bdaf5889d3fe8b951ad0aa7bdbdf544dde,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,8,8,6,8,7,6,7,6,8,8,7,8
N100-066,mip_forms_pca_pilot,HTML,snapshot_sha256,0bf48c1427aa3bea8e011a88d3e8605c0dfad785c4ac51b95bf46e491aba1e1d,view=primary_static_view,7877f7f34e3f5d3b165bba77560cba207116236a58432df783c7b2122938b57c,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,8,8,5,8,7,5,7,6,8,8,7,8
N100-067,mip_global_mesh_architecture_pca,HTML,snapshot_sha256,5f7a72acb572d41b9d9f1bdef7a220177cfbbdd44021de1ea2641647ac8d60bd,view=primary_static_view,2454d5b1c4b9d0715bf7c06b08c4ab5ceb7569c90ab6c947bef54cd75748fea2,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,7,7,3,6,8,4,8,5,8,7,5,6
N100-068,mip_global_mesh_live_v2,HTML,v2,2d0782705a296fc8b26c9f1ee81864d73e137fd1b3989da63e26d41d81419f28,view=primary_static_view,98f212ce8e78035ce2d21af71b2af1a412f0b1d70982bcbd619da8af1775c6c6,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,7,7,3,6,8,4,8,5,8,7,5,6
N100-069,semantic_runtime_pca_dashboard,HTML,snapshot_sha256,fcd723bb327710e50aa1389d5b63317216aa8554ee3bb09915d880ef346318cb,view=primary_static_view,5baf5daa70a6275fae4401bb68e88eaeea069f4d0d66ce765c18b5b0c159dbeb,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,8,8,6,8,7,6,7,6,8,8,7,8
N100-070,visual_review_board,HTML,snapshot_sha256,8ab3156b92e7e4b54747b6cb3d0150e0b29b56347ee3d6633a23a8e57cf643e4,view=primary_static_view,104fdbe46e1005f49c04fca7aa3d0d58925a1cc18962fcf184db59a9a98d3f46,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,7,8,2,5,7,3,7,5,7,6,5,6
